Search_method Problem Max_evals Num_restarts Run Score
HC_cliff K_11_20_1000_4 10000 1 0 1320
HC_cliff K_11_20_1000_4 10000 1 1 0
HC_cliff K_11_20_1000_4 10000 1 2 0
HC_cliff K_11_20_1000_4 10000 1 3 1440
HC_cliff K_11_20_1000_4 10000 1 4 1280
HC_cliff K_11_20_1000_4 10000 1 5 0
HC_cliff K_11_20_1000_4 10000 1 6 0
HC_cliff K_11_20_1000_4 10000 1 7 1320
HC_cliff K_11_20_1000_4 10000 1 8 0
HC_cliff K_11_20_1000_4 10000 1 9 1320
HC_cliff K_11_20_1000_4 10000 1 10 0
HC_cliff K_11_20_1000_4 10000 1 11 1280
HC_cliff K_11_20_1000_4 10000 1 12 0
HC_cliff K_11_20_1000_4 10000 1 13 0
HC_cliff K_11_20_1000_4 10000 1 14 1120
HC_cliff K_11_20_1000_4 10000 1 15 0
HC_cliff K_11_20_1000_4 10000 1 16 0
HC_cliff K_11_20_1000_4 10000 1 17 0
HC_cliff K_11_20_1000_4 10000 1 18 0
HC_cliff K_11_20_1000_4 10000 1 19 0
HC_cliff K_11_20_1000_4 10000 1 20 1240
HC_cliff K_11_20_1000_4 10000 1 21 0
HC_cliff K_11_20_1000_4 10000 1 22 1400
HC_cliff K_11_20_1000_4 10000 1 23 1320
HC_cliff K_11_20_1000_4 10000 1 24 0
HC_cliff K_11_20_1000_4 10000 1 25 0
HC_cliff K_11_20_1000_4 10000 1 26 1320
HC_cliff K_11_20_1000_4 10000 1 27 0
HC_cliff K_11_20_1000_4 10000 1 28 0
HC_cliff K_11_20_1000_4 10000 1 29 0
HC_cliff K_13_20_1000_4 10000 1 0 0
HC_cliff K_13_20_1000_4 10000 1 1 0
HC_cliff K_13_20_1000_4 10000 1 2 890
HC_cliff K_13_20_1000_4 10000 1 3 0
HC_cliff K_13_20_1000_4 10000 1 4 0
HC_cliff K_13_20_1000_4 10000 1 5 0
HC_cliff K_13_20_1000_4 10000 1 6 0
HC_cliff K_13_20_1000_4 10000 1 7 0
HC_cliff K_13_20_1000_4 10000 1 8 0
HC_cliff K_13_20_1000_4 10000 1 9 889
HC_cliff K_13_20_1000_4 10000 1 10 0
HC_cliff K_13_20_1000_4 10000 1 11 907
HC_cliff K_13_20_1000_4 10000 1 12 0
HC_cliff K_13_20_1000_4 10000 1 13 0
HC_cliff K_13_20_1000_4 10000 1 14 0
HC_cliff K_13_20_1000_4 10000 1 15 0
HC_cliff K_13_20_1000_4 10000 1 16 0
HC_cliff K_13_20_1000_4 10000 1 17 0
HC_cliff K_13_20_1000_4 10000 1 18 0
HC_cliff K_13_20_1000_4 10000 1 19 0
HC_cliff K_13_20_1000_4 10000 1 20 0
HC_cliff K_13_20_1000_4 10000 1 21 907
HC_cliff K_13_20_1000_4 10000 1 22 0
HC_cliff K_13_20_1000_4 10000 1 23 0
HC_cliff K_13_20_1000_4 10000 1 24 0
HC_cliff K_13_20_1000_4 10000 1 25 0
HC_cliff K_13_20_1000_4 10000 1 26 0
HC_cliff K_13_20_1000_4 10000 1 27 0
HC_cliff K_13_20_1000_4 10000 1 28 0
HC_cliff K_13_20_1000_4 10000 1 29 0
HC_cliff K_16_20_1000_4 10000 1 0 0
HC_cliff K_16_20_1000_4 10000 1 1 0
HC_cliff K_16_20_1000_4 10000 1 2 0
HC_cliff K_16_20_1000_4 10000 1 3 0
HC_cliff K_16_20_1000_4 10000 1 4 0
HC_cliff K_16_20_1000_4 10000 1 5 0
HC_cliff K_16_20_1000_4 10000 1 6 0
HC_cliff K_16_20_1000_4 10000 1 7 0
HC_cliff K_16_20_1000_4 10000 1 8 0
HC_cliff K_16_20_1000_4 10000 1 9 0
HC_cliff K_16_20_1000_4 10000 1 10 0
HC_cliff K_16_20_1000_4 10000 1 11 0
HC_cliff K_16_20_1000_4 10000 1 12 2893
HC_cliff K_16_20_1000_4 10000 1 13 0
HC_cliff K_16_20_1000_4 10000 1 14 0
HC_cliff K_16_20_1000_4 10000 1 15 0
HC_cliff K_16_20_1000_4 10000 1 16 0
HC_cliff K_16_20_1000_4 10000 1 17 0
HC_cliff K_16_20_1000_4 10000 1 18 0
HC_cliff K_16_20_1000_4 10000 1 19 0
HC_cliff K_16_20_1000_4 10000 1 20 0
HC_cliff K_16_20_1000_4 10000 1 21 0
HC_cliff K_16_20_1000_4 10000 1 22 0
HC_cliff K_16_20_1000_4 10000 1 23 2682
HC_cliff K_16_20_1000_4 10000 1 24 0
